model,seed,task,method_or_contrast,source_index,pass_one_based,physical_block_one_based,native_pass_end,ouro_identity_reference,within_pass_coda_intervention,own,control,excess
ouro,fixed,multihop,jlens,23,1,24,False,False,False,0.0,0.0,0.0
ouro,fixed,multihop,jlens,24,1,25,False,False,False,0.0,0.00016960651289009497,-0.00016960651289009497
ouro,fixed,multihop,jlens,25,1,26,False,False,False,0.0,0.0,0.0
ouro,fixed,multihop,jlens,26,1,27,False,False,False,0.0,0.0,0.0
ouro,fixed,multihop,jlens,27,1,28,False,False,False,0.0,0.0,0.0
ouro,fixed,multihop,jlens,28,1,29,False,False,False,0.0,0.0,0.0
ouro,fixed,multihop,jlens,29,1,30,False,False,False,0.0,0.0,0.0
ouro,fixed,multihop,jlens,30,1,31,False,False,False,0.0,0.0,0.0
ouro,fixed,multihop,jlens,31,1,32,False,False,False,0.0,0.0,0.0
ouro,fixed,multihop,jlens,32,1,33,False,False,False,0.0,0.0,0.0
ouro,fixed,multihop,jlens,33,1,34,False,False,False,0.0,0.0,0.0
ouro,fixed,multihop,jlens,34,1,35,False,False,False,0.0,0.0,0.0
ouro,fixed,multihop,jlens,35,1,36,False,False,False,0.0,0.0005088195386702849,-0.0005088195386702849
ouro,fixed,multihop,jlens,36,1,37,False,False,False,0.0,0.00033921302578018993,-0.00033921302578018993
ouro,fixed,multihop,jlens,37,1,38,False,False,False,0.0,0.0008480325644504748,-0.0008480325644504748
ouro,fixed,multihop,jlens,38,1,39,False,False,False,0.0,0.0015264586160108548,-0.0015264586160108548
ouro,fixed,multihop,jlens,39,1,40,False,False,False,0.0,0.0022048846675712342,-0.0022048846675712342
ouro,fixed,multihop,jlens,40,1,41,False,False,False,0.0,0.0032250935405616532,-0.0032250935405616532
ouro,fixed,multihop,jlens,41,1,42,False,False,False,0.0,0.0028833107191316137,-0.0028833107191316137
ouro,fixed,multihop,jlens,42,1,43,False,False,False,0.0,0.003392130257801898,-0.003392130257801898
ouro,fixed,multihop,jlens,43,1,44,False,False,False,0.0,0.0035617367706919927,-0.0035617367706919927
ouro,fixed,multihop,jlens,44,1,45,False,False,False,0.0,0.0028833107191316137,-0.0028833107191316137
ouro,fixed,multihop,jlens,45,1,46,False,False,False,0.0,0.0016960651289009497,-0.0016960651289009497
ouro,fixed,multihop,jlens,46,1,47,False,False,False,0.0,0.00016960651289009497,-0.00016960651289009497
ouro,fixed,multihop,jlens,47,1,48,True,False,False,0.0,0.00016960651289009497,-0.00016960651289009497
ouro,fixed,multihop,jlens,48,2,1,False,False,False,0.0,0.0011872455902306649,-0.0011872455902306649
ouro,fixed,multihop,jlens,49,2,2,False,False,False,0.0,0.008310719131614651,-0.008310719131614651
ouro,fixed,multihop,jlens,50,2,3,False,False,False,0.0,0.005088195386702848,-0.005088195386702848
ouro,fixed,multihop,jlens,51,2,4,False,False,False,0.0,0.0013568521031207597,-0.0013568521031207597
ouro,fixed,multihop,jlens,52,2,5,False,False,False,0.0,0.0,0.0
ouro,fixed,multihop,jlens,53,2,6,False,False,False,0.0,0.0018656716417910445,-0.0018656716417910445
ouro,fixed,multihop,jlens,54,2,7,False,False,False,0.0,0.0027137042062415195,-0.0027137042062415195
ouro,fixed,multihop,jlens,55,2,8,False,False,False,0.0,0.0039009497964721837,-0.0039009497964721837
ouro,fixed,multihop,jlens,56,2,9,False,False,False,0.0,0.0005088195386702849,-0.0005088195386702849
ouro,fixed,multihop,jlens,57,2,10,False,False,False,0.011363636363636364,0.002883310719131614,0.008480325644504747
ouro,fixed,multihop,jlens,58,2,11,False,False,False,0.0,0.0039009497964721837,-0.0039009497964721837
ouro,fixed,multihop,jlens,59,2,12,False,False,False,0.0,0.008989145183175035,-0.008989145183175035
ouro,fixed,multihop,jlens,60,2,13,False,False,False,0.0,0.005088195386702848,-0.005088195386702848
ouro,fixed,multihop,jlens,61,2,14,False,False,False,0.0,0.0023744911804613293,-0.0023744911804613293
ouro,fixed,multihop,jlens,62,2,15,False,False,False,0.0,0.0,0.0
ouro,fixed,multihop,jlens,63,2,16,False,False,False,0.0,0.00033921302578018993,-0.00033921302578018993
