loop,physical_layer,probe,logit_lens,j_lens,logit_lens_one_form,j_lens_one_form
2,45,0.3559027777777778,0.020833333333333332,0.2048611111111111,0.020833333333333332,0.19444444444444445
2,46,0.3576388888888889,0.020833333333333332,0.21006944444444445,0.020833333333333332,0.19270833333333334
2,47,0.359375,0.034722222222222224,0.19791666666666666,0.034722222222222224,0.19618055555555555
2,48,0.3576388888888889,0.024305555555555556,0.19791666666666666,0.024305555555555556,0.21006944444444445
3,1,0.3454861111111111,0.034722222222222224,0.1753472222222222,0.034722222222222224,0.18055555555555555
3,2,0.3541666666666667,0.022569444444444444,0.1701388888888889,0.019097222222222224,0.14756944444444445
3,3,0.3506944444444444,0.013888888888888888,0.13020833333333334,0.027777777777777776,0.12152777777777778
3,4,0.3211805555555556,0.017361111111111112,0.14930555555555555,0.013888888888888888,0.1736111111111111
3,5,0.3333333333333333,0.020833333333333332,0.1371527777777778,0.008680555555555556,0.14930555555555555
3,6,0.3350694444444444,0.034722222222222224,0.14583333333333334,0.015625,0.16145833333333334
3,7,0.3350694444444444,0.013888888888888888,0.15625,0.017361111111111112,0.16319444444444445
3,8,0.3211805555555556,0.005208333333333333,0.1545138888888889,0.012152777777777778,0.1579861111111111
3,9,0.3142361111111111,0.022569444444444444,0.1579861111111111,0.019097222222222224,0.16319444444444445
3,10,0.3177083333333333,0.013888888888888888,0.1684027777777778,0.034722222222222224,0.1579861111111111
3,11,0.2934027777777778,0.026041666666666668,0.16145833333333334,0.03993055555555555,0.1579861111111111
3,12,0.2777777777777778,0.05555555555555555,0.1597222222222222,0.041666666666666664,0.16319444444444445
3,13,0.2638888888888889,0.034722222222222224,0.1527777777777778,0.024305555555555556,0.16319444444444445
3,14,0.057291666666666664,0.09722222222222222,0.15625,0.08333333333333333,0.16145833333333334
3,15,0.0,0.06770833333333333,0.1597222222222222,0.07118055555555555,0.1597222222222222
3,16,0.0,0.0763888888888889,0.14756944444444445,0.09027777777777778,0.16145833333333334
3,17,0.0,0.10416666666666667,0.16493055555555555,0.0954861111111111,0.16666666666666666
3,18,0.0,0.0763888888888889,0.16145833333333334,0.0920138888888889,0.1684027777777778
3,19,0.005208333333333333,0.11631944444444445,0.1701388888888889,0.10243055555555555,0.1545138888888889
3,20,0.03298611111111111,0.17881944444444445,0.09722222222222222,0.14930555555555555,0.09722222222222222
3,21,0.06597222222222222,0.08680555555555555,0.0954861111111111,0.09027777777777778,0.09375
3,22,0.07291666666666667,0.013888888888888888,0.1076388888888889,0.013888888888888888,0.1111111111111111
3,23,0.06770833333333333,0.015625,0.13020833333333334,0.020833333333333332,0.13194444444444445
3,24,0.08333333333333333,0.015625,0.07465277777777778,0.020833333333333332,0.0954861111111111
